OrderID,Date,CustomerID,TrackingNumber,ShippingAddress,Product,Quantity,UnitPrice,PaymentMethod,OrderStatus,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200020,2023-05-08,C54829,TRK16718651,587 Main St,Chair,5,62.51,Cash,Pending,9,WINTER15,Instagram,312.55
ORD200021,2024-11-17,C99023,TRK52646983,569 Main St,Monitor,4,342.95,Cash,Delivered,6,NO COUPON,Google,1371.80
ORD200022,2023-01-29,C34416,TRK75937350,633 Main St,Monitor,2,49.62,Online,Pending,2,SAVE10,Google,99.24
ORD200023,2025-04-09,C42372,TRK36168083,755 Main St,Phone,4,273.25,Debit Card,Cancelled,5,FREESHIP,Referral,1093.00
ORD200024,2024-10-30,C17470,TRK28775057,956 Main St,Laptop,2,230.95,Online,Delivered,3,WINTER15,Referral,461.90
ORD200025,2024-07-24,C42577,TRK69423327,709 Main St,Monitor,1,399.98,Debit Card,Delivered,3,WINTER15,Email,399.98
ORD200026,2024-03-06,C21944,TRK80276812,296 Main St,Laptop,5,59.55,Online,Delivered,6,NO COUPON,Referral,297.75
ORD200027,2024-02-22,C97593,TRK89117573,881 Main St,Printer,1,472.74,Online,Shipped,6,WINTER15,Google,472.74
ORD200028,2023-11-21,C59823,TRK65895539,568 Main St,Phone,4,160.07,Online,Pending,5,NO COUPON,Email,640.28
ORD200029,2024-09-20,C33260,TRK59744090,930 Main St,Desk,3,423.53,Credit Card,Delivered,6,SAVE10,Referral,1270.59
ORD200030,2025-03-22,C44267,TRK54751444,895 Main St,Monitor,2,426.70,Online,Pending,5,SAVE10,Referral,853.40
ORD200031,2023-06-30,C26445,TRK31229981,996 Main St,Chair,3,500.08,Debit Card,Returned,6,NO COUPON,Facebook,1500.24
ORD200032,2023-05-01,C12388,TRK99261395,830 Main St,Tablet,5,536.72,Cash,Delivered,10,NO COUPON,Email,2683.60
ORD200033,2023-06-05,C52184,TRK73312471,912 Main St,Chair,1,162.77,Online,Cancelled,4,WINTER15,Facebook,162.77
ORD200034,2023-01-07,C67195,TRK55467915,926 Main St,Chair,4,576.52,Credit Card,Pending,5,WINTER15,Facebook,2306.08
ORD200035,2024-12-07,C50304,TRK46850888,128 Main St,Monitor,2,465.15,Online,Shipped,2,SAVE10,Facebook,930.30
ORD200036,2025-05-08,C59337,TRK50961250,465 Main St,Laptop,2,534.43,Debit Card,Pending,5,NO COUPON,Facebook,1068.86
ORD200037,2024-10-14,C10054,TRK94005261,409 Main St,Laptop,2,76.74,Cash,Returned,7,SAVE10,Instagram,153.48
ORD200038,2024-12-19,C15924,TRK14835975,549 Main St,Laptop,1,245.89,Debit Card,Delivered,3,SAVE10,Google,245.89
ORD200039,2025-02-27,C96664,TRK85508960,666 Main St,Printer,3,256.46,Credit Card,Delivered,4,SAVE10,Referral,769.38
ORD200040,2023-08-20,C84766,TRK78967923,267 Main St,Desk,2,344.02,Online,Delivered,4,FREESHIP,Instagram,688.04
ORD200041,2023-12-05,C20212,TRK69733327,657 Main St,Monitor,3,611.45,Gift Card,Pending,4,FREESHIP,Instagram,1834.35
ORD200042,2024-05-06,C28712,TRK40772558,980 Main St,Printer,2,151.66,Cash,Cancelled,6,NO COUPON,Instagram,303.32
ORD200043,2023-12-14,C60572,TRK20351666,871 Main St,Chair,3,499.21,Online,Cancelled,8,NO COUPON,Instagram,1497.63
ORD200044,2025-04-21,C73225,TRK73848522,996 Main St,Phone,2,550.18,Gift Card,Returned,3,FREESHIP,Referral,1100.36
ORD200045,2024-02-10,C17388,TRK47077395,157 Main St,Chair,1,317.25,Debit Card,Returned,1,SAVE10,Facebook,317.25
ORD200046,2024-06-26,C43212,TRK25100762,223 Main St,Monitor,4,550.14,Debit Card,Pending,4,FREESHIP,Instagram,2200.56
ORD200047,2023-07-19,C38134,TRK42450754,323 Main St,Desk,2,209.94,Credit Card,Returned,3,FREESHIP,Email,419.88
ORD200048,2023-08-26,C12408,TRK38938858,464 Main St,Monitor,2,80.77,Debit Card,Shipped,4,NO COUPON,Google,161.54
ORD200049,2023-10-07,C11985,TRK53272402,633 Main St,Printer,1,30.44,Credit Card,Shipped,1,SAVE10,Email,30.44
ORD200050,2023-07-31,C96494,TRK14675049,446 Main St,Tablet,1,179.22,Online,Cancelled,6,FREESHIP,Instagram,179.22
ORD200051,2024-12-30,C36778,TRK67610289,434 Main St,Tablet,1,388.33,Cash,Returned,2,SAVE10,Facebook,388.33
ORD200052,2024-09-08,C30513,TRK64320429,232 Main St,Tablet,1,586.44,Online,Returned,5,SAVE10,Facebook,586.44
ORD200053,2024-05-18,C67551,TRK94992552,512 Main St,Phone,4,488.78,Online,Returned,5,FREESHIP,Google,1955.12
ORD200054,2025-03-27,C48120,TRK11014449,623 Main St,Chair,1,280.25,Online,Pending,5,WINTER15,Email,280.25
ORD200055,2025-06-24,C95984,TRK67434829,565 Main St,Printer,3,344.40,Online,Cancelled,3,NO COUPON,Facebook,1033.20
ORD200056,2023-05-21,C54298,TRK62902341,566 Main St,Tablet,3,479.21,Cash,Cancelled,5,WINTER15,Referral,1437.63
ORD200057,2023-01-22,C88036,TRK52470128,842 Main St,Printer,5,314.27,Cash,Returned,6,SAVE10,Instagram,1571.35
ORD200058,2023-01-15,C60190,TRK70857868,202 Main St,Phone,4,474.69,Gift Card,Cancelled,6,SAVE10,Google,1898.76
ORD200059,2024-09-11,C97603,TRK47055028,811 Main St,Chair,4,593.27,Online,Shipped,5,NO COUPON,Facebook,2373.08
ORD200060,2024-08-21,C39256,TRK23412025,634 Main St,Desk,1,417.10,Debit Card,Returned,3,FREESHIP,Referral,417.10
ORD200061,2024-03-24,C61618,TRK43458485,104 Main St,Desk,4,122.20,Cash,Delivered,7,FREESHIP,Facebook,488.80
ORD200062,2023-08-22,C36497,TRK12102911,691 Main St,Desk,2,43.15,Debit Card,Pending,3,WINTER15,Email,86.30
ORD200063,2025-02-02,C96695,TRK64283851,813 Main St,Chair,1,564.86,Debit Card,Shipped,6,WINTER15,Referral,564.86
ORD200064,2025-06-25,C49720,TRK55785217,752 Main St,Printer,3,130.61,Debit Card,Cancelled,4,FREESHIP,Facebook,391.83
ORD200065,2023-12-30,C97735,TRK13743703,385 Main St,Monitor,5,81.70,Credit Card,Delivered,6,NO COUPON,Instagram,408.50
ORD200066,2024-11-15,C18104,TRK15488568,715 Main St,Chair,5,127.18,Cash,Cancelled,9,SAVE10,Referral,635.90
ORD200067,2024-12-09,C25587,TRK55105323,440 Main St,Printer,4,12.10,Debit Card,Cancelled,8,NO COUPON,Google,48.40
ORD200068,2023-12-11,C41598,TRK81665940,709 Main St,Chair,3,490.92,Credit Card,Pending,5,FREESHIP,Email,1472.76
ORD200069,2023-05-11,C43338,TRK35241775,552 Main St,Monitor,3,478.65,Online,Shipped,4,NO COUPON,Referral,1435.95
ORD200070,2023-05-26,C25123,TRK27812282,384 Main St,Desk,1,629.21,Gift Card,Pending,2,FREESHIP,Instagram,629.21
ORD200071,2025-06-10,C37454,TRK28252730,923 Main St,Monitor,3,434.45,Credit Card,Pending,4,NO COUPON,Referral,1303.35
ORD200072,2024-12-22,C19451,TRK87787793,942 Main St,Tablet,4,589.44,Gift Card,Returned,5,NO COUPON,Facebook,2357.76
ORD200073,2023-05-03,C17269,TRK79608389,129 Main St,Monitor,4,433.45,Gift Card,Cancelled,4,NO COUPON,Facebook,1733.80
ORD200074,2023-06-24,C25382,TRK64691287,622 Main St,Phone,5,90.87,Cash,Pending,5,NO COUPON,Instagram,454.35
ORD200075,2023-09-26,C80651,TRK14846720,917 Main St,Tablet,3,398.17,Debit Card,Delivered,5,SAVE10,Email,1194.51
ORD200076,2024-03-31,C58638,TRK38224871,239 Main St,Laptop,4,382.88,Cash,Cancelled,6,WINTER15,Email,1531.52
ORD200077,2024-05-24,C50121,TRK79810059,348 Main St,Phone,1,583.18,Credit Card,Returned,5,NO COUPON,Google,583.18
ORD200078,2024-08-06,C32029,TRK68535532,146 Main St,Printer,4,175.36,Debit Card,Delivered,4,FREESHIP,Instagram,701.44
ORD200079,2025-03-10,C76700,TRK13036341,103 Main St,Tablet,2,311.91,Online,Shipped,2,NO COUPON,Facebook,623.82
ORD200080,2023-06-27,C29041,TRK28840655,591 Main St,Phone,3,589.56,Online,Returned,6,NO COUPON,Facebook,1768.68
ORD200081,2023-06-08,C29314,TRK59876213,496 Main St,Monitor,2,394.30,Cash,Shipped,6,FREESHIP,Email,788.60
ORD200082,2024-01-05,C65799,TRK66906607,971 Main St,Tablet,4,565.20,Debit Card,Shipped,9,SAVE10,Google,2260.80
ORD200083,2023-08-22,C15681,TRK75112172,989 Main St,Laptop,4,540.41,Credit Card,Cancelled,6,NO COUPON,Referral,2161.64
ORD200084,2023-08-28,C64160,TRK34121529,967 Main St,Monitor,2,165.49,Online,Shipped,4,WINTER15,Instagram,330.98
ORD200085,2024-09-09,C14553,TRK93538334,768 Main St,Tablet,3,146.73,Cash,Delivered,8,FREESHIP,Email,440.19
ORD200086,2024-06-19,C88205,TRK93504166,447 Main St,Printer,5,643.03,Online,Cancelled,5,FREESHIP,Referral,3215.15
ORD200087,2024-10-10,C91245,TRK46976391,915 Main St,Tablet,3,225.11,Cash,Shipped,4,SAVE10,Facebook,675.33
ORD200088,2025-06-05,C75439,TRK19831653,318 Main St,Desk,3,114.81,Gift Card,Cancelled,7,NO COUPON,Google,344.43
ORD200089,2025-02-25,C17181,TRK78912978,291 Main St,Printer,5,455.33,Credit Card,Cancelled,8,FREESHIP,Google,2276.65
ORD200090,2023-09-18,C36540,TRK35828122,611 Main St,Chair,4,182.08,Gift Card,Delivered,4,SAVE10,Email,728.32
ORD200091,2023-03-15,C98216,TRK40986666,196 Main St,Laptop,5,492.75,Cash,Shipped,6,WINTER15,Referral,2463.75
ORD200092,2024-06-10,C29568,TRK46531075,203 Main St,Printer,4,48.61,Online,Shipped,7,FREESHIP,Facebook,194.44
ORD200093,2023-01-14,C97262,TRK65990229,837 Main St,Desk,4,431.01,Credit Card,Returned,7,NO COUPON,Referral,1724.04
ORD200094,2023-02-11,C79821,TRK12780193,781 Main St,Chair,1,531.18,Gift Card,Returned,6,WINTER15,Instagram,531.18
ORD200095,2023-03-24,C76761,TRK60179774,839 Main St,Printer,4,117.51,Debit Card,Returned,7,NO COUPON,Referral,470.04
ORD200096,2024-06-01,C93007,TRK85696091,103 Main St,Phone,2,232.83,Gift Card,Delivered,7,NO COUPON,Instagram,465.66
ORD200097,2025-01-21,C15624,TRK40621141,922 Main St,Tablet,5,619.52,Debit Card,Pending,9,NO COUPON,Email,3097.60
ORD200098,2023-01-14,C70921,TRK54983109,533 Main St,Printer,2,228.54,Debit Card,Pending,3,NO COUPON,Email,457.08
ORD200099,2025-04-12,C30477,TRK51829648,717 Main St,Printer,1,201.58,Debit Card,Cancelled,2,WINTER15,Email,201.58
ORD200100,2023-02-17,C74866,TRK53783265,743 Main St,Phone,3,664.79,Online,Delivered,6,NO COUPON,Facebook,1994.37
ORD200101,2023-11-25,C15283,TRK19286291,152 Main St,Printer,1,381.02,Cash,Shipped,6,NO COUPON,Google,381.02
ORD200102,2023-03-08,C18037,TRK47362236,944 Main St,Laptop,2,70.34,Gift Card,Cancelled,3,FREESHIP,Email,140.68
ORD200103,2025-01-25,C62656,TRK86296459,514 Main St,Phone,4,218.43,Credit Card,Cancelled,9,SAVE10,Email,873.72
ORD200104,2024-07-30,C65744,TRK39906058,647 Main St,Phone,1,582.04,Gift Card,Delivered,1,FREESHIP,Email,582.04
ORD200105,2024-10-24,C72290,TRK68792129,810 Main St,Printer,3,185.40,Gift Card,Cancelled,7,NO COUPON,Facebook,556.20
ORD200106,2023-09-08,C73514,TRK96777924,126 Main St,Desk,3,465.05,Credit Card,Cancelled,3,SAVE10,Email,1395.15
ORD200107,2023-03-27,C16775,TRK34392124,848 Main St,Printer,5,670.75,Gift Card,Shipped,8,FREESHIP,Instagram,3353.75
ORD200108,2024-12-28,C33099,TRK28522330,522 Main St,Laptop,5,48.38,Gift Card,Delivered,9,WINTER15,Email,241.90
ORD200109,2023-09-17,C51157,TRK18674578,131 Main St,Desk,3,592.87,Gift Card,Shipped,3,FREESHIP,Referral,1778.61
ORD200110,2024-04-21,C74562,TRK32062079,388 Main St,Tablet,1,220.77,Gift Card,Pending,5,FREESHIP,Instagram,220.77
ORD200111,2025-05-07,C95271,TRK74904969,620 Main St,Desk,3,309.22,Online,Cancelled,7,FREESHIP,Google,927.66
ORD200112,2023-01-01,C81366,TRK17062206,423 Main St,Monitor,1,410.60,Online,Cancelled,2,WINTER15,Referral,410.60
ORD200113,2024-01-17,C65905,TRK73954365,605 Main St,Laptop,5,190.08,Cash,Shipped,9,FREESHIP,Instagram,950.40
ORD200114,2025-01-27,C77272,TRK29708128,115 Main St,Monitor,5,498.48,Online,Pending,8,SAVE10,Google,2492.40
ORD200115,2023-11-27,C32580,TRK23670394,122 Main St,Phone,5,374.99,Online,Shipped,9,SAVE10,Facebook,1874.95
ORD200116,2023-03-19,C47761,TRK66669207,109 Main St,Printer,4,291.35,Credit Card,Cancelled,6,WINTER15,Facebook,1165.40
ORD200117,2023-03-08,C49187,TRK81888598,593 Main St,Tablet,1,535.50,Gift Card,Cancelled,5,WINTER15,Referral,535.50
ORD200118,2023-10-09,C27898,TRK61957665,807 Main St,Printer,5,502.71,Gift Card,Shipped,7,FREESHIP,Google,2513.55
ORD200119,2025-06-11,C14683,TRK47373682,187 Main St,Desk,2,534.67,Debit Card,Shipped,7,FREESHIP,Referral,1069.34
ORD200120,2023-04-11,C58108,TRK66218053,986 Main St,Tablet,4,629.34,Cash,Cancelled,4,WINTER15,Instagram,2517.36
ORD200121,2023-11-30,C89822,TRK24138598,673 Main St,Desk,1,410.78,Cash,Cancelled,1,FREESHIP,Instagram,410.78
ORD200122,2024-04-15,C96787,TRK30422853,588 Main St,Laptop,2,533.02,Gift Card,Shipped,2,NO COUPON,Facebook,1066.04
ORD200123,2023-07-06,C86064,TRK62182901,727 Main St,Desk,3,278.04,Online,Delivered,5,NO COUPON,Instagram,834.12
ORD200124,2024-07-28,C97148,TRK85321126,563 Main St,Printer,4,283.79,Online,Pending,8,NO COUPON,Google,1135.16
ORD200125,2024-11-06,C91099,TRK81846174,758 Main St,Phone,2,512.65,Credit Card,Shipped,5,SAVE10,Email,1025.30
ORD200126,2025-05-03,C55606,TRK68250319,353 Main St,Desk,4,275.50,Gift Card,Shipped,8,FREESHIP,Google,1102.00
ORD200127,2023-08-10,C71486,TRK73929833,365 Main St,Desk,3,469.32,Debit Card,Shipped,3,NO COUPON,Google,1407.96
ORD200128,2023-02-17,C86408,TRK41432648,244 Main St,Tablet,4,21.07,Gift Card,Delivered,4,FREESHIP,Google,84.28
ORD200129,2023-10-27,C52751,TRK72481234,427 Main St,Laptop,4,263.93,Debit Card,Shipped,4,FREESHIP,Facebook,1055.72
ORD200130,2025-01-22,C29059,TRK88360704,513 Main St,Desk,3,501.30,Online,Cancelled,3,WINTER15,Facebook,1503.90
ORD200131,2023-01-08,C72862,TRK51648833,606 Main St,Tablet,1,84.80,Gift Card,Pending,5,NO COUPON,Instagram,84.80
ORD200132,2023-03-28,C96257,TRK13137948,583 Main St,Tablet,4,450.75,Credit Card,Shipped,6,WINTER15,Email,1803.00
ORD200133,2025-06-20,C87432,TRK68969625,636 Main St,Chair,4,302.05,Debit Card,Cancelled,6,SAVE10,Google,1208.20
ORD200134,2025-06-23,C16253,TRK17354894,583 Main St,Laptop,2,199.70,Cash,Pending,4,NO COUPON,Email,399.40
ORD200135,2023-08-04,C79909,TRK86742257,642 Main St,Printer,2,68.81,Gift Card,Shipped,5,SAVE10,Referral,137.62
ORD200136,2024-04-27,C73370,TRK67820278,595 Main St,Laptop,1,44.35,Gift Card,Cancelled,1,SAVE10,Instagram,44.35
ORD200137,2024-11-26,C50682,TRK12242337,598 Main St,Monitor,2,250.98,Credit Card,Delivered,5,NO COUPON,Google,501.96
ORD200138,2023-12-21,C21905,TRK31863841,478 Main St,Tablet,1,298.06,Debit Card,Pending,3,WINTER15,Google,298.06
ORD200139,2023-04-10,C61440,TRK33114521,714 Main St,Phone,1,583.90,Cash,Returned,1,NO COUPON,Email,583.90
ORD200140,2025-05-31,C33110,TRK38624225,388 Main St,Chair,3,528.14,Online,Delivered,3,FREESHIP,Email,1584.42
ORD200141,2023-11-18,C80004,TRK66230753,151 Main St,Printer,3,684.14,Cash,Cancelled,3,WINTER15,Instagram,2052.42
ORD200142,2023-09-06,C86374,TRK79451491,573 Main St,Desk,5,272.77,Cash,Pending,7,WINTER15,Email,1363.85
ORD200143,2024-06-13,C66521,TRK34654244,933 Main St,Chair,4,400.07,Online,Shipped,5,NO COUPON,Referral,1600.28
ORD200144,2023-08-04,C63365,TRK80100887,895 Main St,Desk,5,219.78,Credit Card,Pending,8,NO COUPON,Facebook,1098.90
ORD200145,2024-03-02,C85929,TRK29318610,798 Main St,Printer,3,146.91,Credit Card,Delivered,6,FREESHIP,Google,440.73
ORD200146,2025-04-30,C84645,TRK68893369,404 Main St,Tablet,2,411.49,Credit Card,Returned,4,NO COUPON,Instagram,822.98
ORD200147,2025-05-06,C46316,TRK16196000,893 Main St,Laptop,2,465.18,Credit Card,Cancelled,2,SAVE10,Google,930.36
ORD200148,2024-12-15,C35100,TRK56853491,139 Main St,Phone,2,319.91,Credit Card,Cancelled,3,WINTER15,Google,639.82
ORD200149,2023-12-27,C39671,TRK47153818,174 Main St,Laptop,1,217.56,Debit Card,Delivered,3,NO COUPON,Facebook,217.56
ORD200150,2023-12-13,C25503,TRK29878837,981 Main St,Phone,2,105.57,Debit Card,Returned,5,WINTER15,Google,211.14
ORD200151,2023-12-01,C32960,TRK91226500,947 Main St,Printer,5,444.76,Debit Card,Returned,7,NO COUPON,Email,2223.80
ORD200152,2025-01-02,C77736,TRK90329250,659 Main St,Chair,2,399.04,Cash,Cancelled,3,FREESHIP,Referral,798.08
ORD200153,2024-12-18,C71570,TRK95992269,437 Main St,Chair,4,534.48,Online,Returned,9,WINTER15,Instagram,2137.92
ORD200154,2023-07-20,C73587,TRK13955543,727 Main St,Phone,4,408.21,Credit Card,Pending,9,NO COUPON,Instagram,1632.84
ORD200155,2023-02-27,C62740,TRK20706408,446 Main St,Phone,1,424.40,Online,Shipped,6,WINTER15,Referral,424.40
ORD200156,2024-11-08,C58808,TRK24451893,651 Main St,Chair,2,269.83,Online,Delivered,4,SAVE10,Email,539.66
ORD200157,2025-02-21,C50422,TRK71227815,636 Main St,Monitor,2,564.58,Online,Returned,4,WINTER15,Facebook,1129.16
ORD200158,2024-05-16,C23334,TRK46335144,737 Main St,Tablet,1,331.06,Credit Card,Pending,5,WINTER15,Instagram,331.06
ORD200159,2023-10-31,C48965,TRK50921780,819 Main St,Printer,1,299.35,Credit Card,Cancelled,5,WINTER15,Email,299.35
ORD200160,2023-02-17,C38669,TRK81738254,240 Main St,Monitor,4,101.32,Cash,Pending,7,NO COUPON,Referral,405.28
ORD200161,2024-03-29,C35091,TRK53784452,513 Main St,Monitor,1,211.14,Credit Card,Cancelled,1,SAVE10,Facebook,211.14
ORD200162,2023-07-27,C82313,TRK79854624,917 Main St,Chair,3,65.86,Online,Pending,8,WINTER15,Google,197.58
ORD200163,2025-06-24,C99589,TRK16695001,277 Main St,Tablet,1,641.39,Online,Cancelled,1,NO COUPON,Referral,641.39
ORD200164,2023-12-28,C70566,TRK49673411,667 Main St,Desk,5,536.58,Gift Card,Pending,5,SAVE10,Google,2682.90
ORD200165,2024-09-14,C60355,TRK30155194,226 Main St,Monitor,2,500.29,Online,Returned,7,WINTER15,Google,1000.58
ORD200166,2025-03-04,C28889,TRK23791726,565 Main St,Chair,3,86.29,Cash,Delivered,6,WINTER15,Instagram,258.87
ORD200167,2023-05-27,C88304,TRK44268941,219 Main St,Chair,2,384.14,Online,Returned,2,WINTER15,Email,768.28
ORD200168,2025-01-04,C49517,TRK78551375,878 Main St,Printer,1,594.96,Cash,Returned,6,NO COUPON,Facebook,594.96
ORD200169,2024-04-07,C35785,TRK78923089,732 Main St,Printer,1,427.82,Online,Delivered,2,WINTER15,Email,427.82
ORD200170,2025-04-04,C80223,TRK68632951,535 Main St,Desk,4,662.94,Cash,Cancelled,8,SAVE10,Instagram,2651.76
ORD200171,2023-08-15,C20448,TRK67379895,336 Main St,Tablet,2,148.22,Credit Card,Delivered,7,WINTER15,Instagram,296.44
ORD200172,2025-04-06,C34134,TRK43074303,365 Main St,Printer,1,254.12,Online,Delivered,1,WINTER15,Email,254.12
ORD200173,2024-03-24,C95901,TRK56989066,806 Main St,Phone,3,664.46,Online,Delivered,4,FREESHIP,Google,1993.38
ORD200174,2024-04-16,C51145,TRK59154274,790 Main St,Printer,4,600.81,Debit Card,Delivered,9,SAVE10,Email,2403.24
ORD200175,2025-02-08,C78170,TRK71410605,332 Main St,Chair,5,68.34,Debit Card,Pending,6,WINTER15,Referral,341.70
ORD200176,2025-06-28,C80151,TRK88251529,553 Main St,Tablet,4,430.83,Gift Card,Pending,8,WINTER15,Referral,1723.32
ORD200177,2023-08-05,C55632,TRK13003066,354 Main St,Chair,5,431.69,Credit Card,Pending,10,NO COUPON,Facebook,2158.45
ORD200178,2024-04-11,C53070,TRK49791755,283 Main St,Chair,4,512.06,Online,Delivered,5,SAVE10,Google,2048.24
ORD200179,2024-11-24,C27401,TRK14332053,500 Main St,Laptop,3,539.91,Credit Card,Delivered,8,NO COUPON,Email,1619.73
ORD200180,2023-03-18,C87216,TRK18713727,970 Main St,Tablet,5,316.07,Cash,Returned,10,NO COUPON,Google,1580.35
ORD200181,2024-08-31,C38966,TRK17205146,247 Main St,Printer,5,404.39,Online,Shipped,10,NO COUPON,Referral,2021.95
ORD200182,2025-03-19,C16612,TRK96188223,596 Main St,Desk,1,600.54,Debit Card,Pending,4,WINTER15,Google,600.54
ORD200183,2024-04-18,C39246,TRK16658182,258 Main St,Monitor,5,186.28,Debit Card,Delivered,8,SAVE10,Email,931.40
ORD200184,2024-04-04,C65180,TRK39255469,231 Main St,Tablet,4,214.54,Gift Card,Cancelled,7,NO COUPON,Referral,858.16
ORD200185,2025-02-02,C46877,TRK96935978,572 Main St,Laptop,1,210.70,Online,Shipped,2,WINTER15,Referral,210.70
ORD200186,2023-12-07,C30334,TRK66388885,322 Main St,Phone,2,133.55,Cash,Pending,7,FREESHIP,Facebook,267.10
ORD200187,2023-02-08,C21227,TRK79129657,689 Main St,Chair,1,590.87,Gift Card,Returned,6,FREESHIP,Referral,590.87
ORD200188,2025-03-15,C97715,TRK19515949,927 Main St,Chair,2,363.91,Gift Card,Shipped,2,FREESHIP,Referral,727.82
ORD200189,2023-07-05,C48939,TRK62786764,597 Main St,Printer,5,429.45,Gift Card,Cancelled,5,WINTER15,Email,2147.25
ORD200190,2024-08-31,C35483,TRK79638203,725 Main St,Printer,3,223.70,Cash,Returned,3,SAVE10,Email,671.10
ORD200191,2025-03-08,C51494,TRK58520306,505 Main St,Laptop,2,488.87,Online,Cancelled,4,FREESHIP,Google,977.74
ORD200192,2023-08-11,C58410,TRK19749672,151 Main St,Desk,1,645.46,Gift Card,Cancelled,5,SAVE10,Google,645.46
ORD200193,2023-07-21,C11644,TRK81320339,429 Main St,Printer,1,46.66,Cash,Cancelled,6,NO COUPON,Google,46.66
ORD200194,2024-06-08,C53501,TRK90144892,899 Main St,Monitor,1,249.57,Cash,Shipped,3,FREESHIP,Google,249.57
ORD200195,2024-04-22,C63619,TRK65385674,801 Main St,Chair,3,619.21,Debit Card,Cancelled,6,NO COUPON,Email,1857.63
ORD200196,2025-01-24,C40882,TRK64165503,719 Main St,Desk,4,217.13,Cash,Delivered,8,WINTER15,Email,868.52
ORD200197,2023-08-27,C80135,TRK95222269,723 Main St,Laptop,5,221.51,Cash,Returned,5,WINTER15,Referral,1107.55
ORD200198,2024-06-11,C37594,TRK94405162,926 Main St,Laptop,4,340.30,Cash,Cancelled,8,SAVE10,Referral,1361.20
ORD200199,2025-01-23,C87524,TRK21114341,358 Main St,Phone,1,625.00,Online,Returned,5,WINTER15,Google,625.00
ORD200200,2025-06-07,C97681,TRK37531040,895 Main St,Tablet,5,433.26,Credit Card,Delivered,9,SAVE10,Google,2166.30
ORD200201,2023-06-18,C10126,TRK75607531,146 Main St,Monitor,2,674.90,Online,Shipped,4,SAVE10,Facebook,1349.80
ORD200202,2025-02-06,C36938,TRK52522904,636 Main St,Monitor,3,253.98,Credit Card,Cancelled,3,FREESHIP,Email,761.94
ORD200203,2025-01-21,C99173,TRK89849342,172 Main St,Printer,3,356.84,Online,Shipped,5,SAVE10,Instagram,1070.52
ORD200204,2023-09-05,C99775,TRK21638425,478 Main St,Laptop,4,413.71,Gift Card,Cancelled,9,FREESHIP,Facebook,1654.84
ORD200205,2023-03-04,C19266,TRK58357269,609 Main St,Desk,3,147.39,Debit Card,Returned,3,NO COUPON,Email,442.17
